vehicle_density,waiting_time,flow_rate,queue_length,emergency_vehicle,opposing_density,green_duration
48,24,30,12,0,58,38
80,43,47,27,0,51,52
5,1,0,9,0,11,18
96,49,55,22,0,52,49
40,18,26,6,0,33,37
45,30,21,8,0,26,31
66,12,33,5,0,59,23
25,31,29,8,0,37,31
3,13,15,7,0,7,14
37,24,32,13,0,64,20
78,40,51,27,0,60,47
54,12,20,15,0,58,28
8,7,11,1,0,4,12
41,36,22,5,0,66,33
4,9,13,6,0,14,19
82,58,46,20,0,81,48
6,12,14,3,0,6,12
71,49,52,28,0,77,56
89,50,46,20,0,76,58
82,48,42,26,0,76,53
52,28,29,16,0,51,43
68,39,36,14,0,58,21
56,26,36,15,0,21,41
70,40,58,21,0,75,50
73,50,56,25,0,83,50
67,25,20,13,0,25,35
89,43,58,29,0,68,48
60,10,27,11,0,20,30
44,27,29,7,0,35,35
68,11,20,18,0,56,42
54,28,35,7,0,52,43
16,7,3,5,0,2,18
48,27,33,6,0,54,35
3,0,3,0,0,15,13
27,16,22,5,0,67,31
41,32,33,18,0,64,38
1,4,0,0,0,15,12
68,26,31,16,0,65,40
8,4,16,4,0,0,13
90,40,42,21,0,80,50
59,23,37,19,1,21,29
16,7,0,8,0,15,16
92,42,57,28,0,56,53
39,10,27,18,0,31,38
47,11,21,11,0,44,41
41,26,39,14,0,62,24
63,21,24,11,0,64,39
54,32,27,8,0,69,29
36,33,38,16,0,45,24
99,48,51,24,0,50,59
99,55,47,24,0,88,59
48,32,22,16,0,56,41
83,44,54,20,0,54,56
95,55,46,23,0,79,49
29,31,24,8,0,50,29
51,10,24,17,0,43,35
68,37,39,12,0,54,20
62,14,31,7,0,59,29
98,52,51,21,0,99,47
45,17,29,14,0,60,26
90,57,52,27,0,70,57
79,44,48,27,0,98,47
37,26,26,12,0,51,24
92,52,42,28,0,98,58
44,31,32,15,0,55,31
18,11,8,6,0,19,12
35,30,24,7,0,40,23
15,8,6,4,0,6,19
42,38,30,15,0,31,28
63,26,25,11,0,59,29
46,35,21,9,0,57,38
64,10,39,5,0,44,32
25,37,38,17,0,58,29
6,13,2,1,0,19,17
78,46,40,22,0,98,53
5,4,5,9,0,12,14
90,50,44,23,0,69,53
60,26,33,19,0,22,35
30,21,29,12,0,43,40
97,43,47,29,0,77,56
55,36,36,13,0,39,32
48,22,33,7,0,37,38
66,34,21,14,0,69,32
93,40,40,21,1,98,55
44,31,36,17,0,60,22
90,55,45,20,0,54,50
4,4,4,9,0,16,14
65,10,38,17,0,20,36
53,37,27,11,0,53,41
69,21,20,10,0,49,44
66,32,34,9,0,21,30
75,41,45,21,0,79,59
53,29,25,5,0,49,42
36,14,23,14,0,29,36
93,44,41,25,0,62,58
67,20,38,19,0,35,30
77,43,47,23,0,52,47
51,27,38,7,0,37,29
90,45,40,24,0,75,58
33,35,32,15,0,66,44
49,20,35,17,0,55,20
